i1	0	25.36544	1091.574	4000	16.17036	0.92048	0.2778	0.33522	0.38411	0.55555	
i1	0.0554	14.84451	1443.306	4005.696	10.75462	0.95701	0.92458	0.63571	0.35865	0.28321	
i1	0.1161	1.47272	864.3302	3995.462	16.27936	0.24101	0.46085	0.12979	0.0544	1.99785	
i1	0.13793	15.87504	1758.668	4035.419	6.6246	0.6738	0.57186	0.49358	0.48639	0.58503	
i1	0.21507	16.2756	1654.871	4026.734	17.93906	0.35498	0.41721	0.80772	0.45951	0.13951	
i1	0.31	16.25387	629.0838	3998.506	13.60131	0.90121	0.414	0.06417	0.01001	0.9154	
i1	0.31632	7.91012	1955.951	4137.454	17.16748	0.34	0.58578	0.37521	0.38012	1.02507	
i1	0.3831	16.41659	558.9205	4056.218	18.70487	0.93773	0.74886	0.28429	0.36927	1.27996	
i1	0.41851	20.94798	748.9612	4061.982	17.72143	0.84628	0.3973	0.22897	0.44669	0.70072	
i1	0.48718	28.73758	1382.96	4137.123	17.31485	0.4956	0.93157	0.39844	0.40738	1.36844	
i1	0.57828	14.99223	823.7374	4266.26	18.48244	0.23289	0.89296	0.64108	0.21598	1.23919	
i1	0.60639	23.79406	961.1868	4091.85	5.29603	0.26878	0.34861	0.55644	0.20825	0.33921	
i1	0.69707	3.99196	689.113	4125.912	15.44903	0.98628	0.9415	0.68445	0.19159	1.49954	
i1	0.73394	9.53065	848.3923	4172.325	5.64384	0.23715	0.75893	0.12547	0.39674	0.3282	
i1	0.80845	3.16136	1925.156	3927.368	10.9097	0.25859	0.31606	0.7978	0.36633	1.31313	
i1	0.90519	19.54429	1639.602	3941.442	3.56315	0.56819	0.17041	0.06991	0.10233	0.92284	
i1	0.98716	17.62624	1633.371	3911.468	3.99834	0.99999	0.2839	0.88996	0.06273	1.9956	
i1	0.99258	26.24566	608.4932	3882.278	18.53831	0.6345	0.26234	0.16313	0.19585	1.82605	
i1	1.07455	11.41377	1328.728	4246.266	9.59894	0.71865	0.18968	0.53081	0.37865	0.60859	
i1	1.17377	17.73216	1816.421	4387.135	12.94929	0.13188	0.77302	0.83324	0.46269	1.74654	
i1	1.25688	29.40359	1615.717	4570.105	19.68832	0.70019	0.54753	0.16397	0.41501	1.7779	
i1	1.26459	19.8415	872.0662	4326.033	5.3536	0.73056	0.38518	0.32878	0.11571	0.14832	
i1	1.3279	7.48604	1476.698	4247.15	19.45785	0.35204	0.5915	0.71927	0.05664	0.94297	
i1	1.38716	28.38522	1176.376	4113.089	17.106	0.49106	0.10291	0.34494	0.29924	1.66649	
i1	1.41056	20.5888	1224.425	4237.598	6.79416	0.74088	0.2643	0.62182	0.02043	0.82797	
i1	1.48016	20.54416	1456.46	4129.802	4.50783	0.6482	0.66444	0.73073	0.16419	1.48088	
i1	1.50039	27.70652	1527.135	4404.997	5.88804	0.5792	0.17888	0.2605	0.43869	1.37225	
i1	1.50977	4.22699	1042.401	4338.677	12.27102	0.6999	0.3599	0.77577	0.14419	0.65928	
i1	1.52875	29.54653	505.3679	4618.588	7.2981	0.26938	0.49285	0.95864	0.45947	1.52974	
i1	1.59866	4.51315	1528.679	4174.502	15.7112	0.94875	0.92465	0.86192	0.10177	1.58731	
i1	1.65347	9.62137	1857.399	4747.136	17.6056	0.54833	0.61858	0.16276	0.13696	1.72916	
i1	1.70271	14.4462	1773.413	4298.217	6.53001	0.26238	0.71576	0.72755	0.06953	1.20622	
i1	1.75196	25.30587	1586.378	3977.444	5.21735	0.54867	0.20913	0.13824	0.18022	0.64961	
i1	1.84515	27.34605	1433.143	4749.716	16.54442	0.54647	0.40147	0.39433	0.32942	1.21777	
i1	1.87105	5.38567	608.8175	3898.538	13.29694	0.42724	0.35944	0.33139	0.04557	0.85466	
i1	1.9645	17.92354	898.192	4590.067	15.47378	0.53868	0.24154	0.88304	0.31283	1.03543	
i1	1.98529	17.16926	1139.299	4795.18	8.49338	0.31989	0.39341	0.72936	0.31933	1.96969	
i1	2.01912	27.02925	704.1119	4249.22	1.10276	0.80495	0.79695	0.29368	0.05733	1.73107	
i1	2.09122	2.42571	1173.658	5026.098	14.45027	0.28979	0.5265	0.86518	0.04696	0.19912	
i1	2.12952	9.75113	1485.68	4823.274	3.50234	0.14636	0.14808	0.45772	0.39043	1.38415	
i1	2.17378	4.45423	1384.455	4547.404	11.06809	0.63554	0.42573	0.30429	0.44436	0.95317	
i1	2.19077	18.68214	1288.621	4602.797	12.32773	0.31029	0.84683	0.07009	0.04942	1.84746	
i1	2.20774	14.97027	838.2364	4874.165	6.52574	0.42147	0.89045	0.34425	0.40745	1.31829	
i1	2.21138	8.4666	1667.386	4617.151	16.88597	0.37734	0.29891	0.19802	0.30622	0.21947	
i1	2.27884	23.68561	1579.193	4000.466	8.62257	0.38409	0.49061	0.231	0.19287	1.06569	
i1	2.29432	17.10653	521.869	4239.891	8.26118	0.37487	0.76367	0.26044	0.32483	1.10463	
i1	2.38628	20.8936	1714.678	4761.705	6.92706	0.6813	0.1054	0.53296	0.42195	1.23689	
